Title	MMSID	ISSN	ISSN1	ISSN		
Molecular microbiology.	99157779970001452	0950-382X	1365-2958	0950-382X		
Molecular neurobiology.	99158476440001452	0893-7648	1559-1182	0893-7648		
Molecular neurodegeneration.	99157230870001452		1750-1326			
Molecular nutrition & food research.	99158526220001452	1613-4125	1613-4133	1613-4125		
Molecular oncology.	99161967640701452	1574-7891	1878-0261	1574-7891		
Molecular oral microbiology.	99158524980001452	2041-1006	2041-1014	2041-1006		
Molecular pain.	99157211120001452		1744-8069			
Molecular pharmaceutics.	99158485240001452	1543-8384	1543-8392	1543-8384		
Molecular pharmacology.	99157516110001452	0026-895X	1521-0111	0026-895X		
Molecular phylogenetics and evolution.	99161967366901452	1055-7903	1095-9513	1055-7903		
Molecular plant.	99157486110001452	1674-2052	1752-9867	1674-2052		
Molecular plant pathology.	99157495990001452	1464-6722	1364-3703	1464-6722		
Molecular plant-microbe interactions : MPMI.	99157460610001452	0894-0282		0894-0282		
Molecular psychiatry.	99157719640001452	1359-4184	1476-5578	1359-4184		
Molecular reproduction and development.	99158525040001452	1040-452X	1098-2795	1040-452X		
Molecular syndromology.	99161958017001452	1661-8769	1661-8777	1661-8769		
Molecular systems biology.	99157344830001452		1744-4292			
Molecular therapy.	99157719570001452	1525-0016	1525-0024	1525-0016		
Molecular therapy - Methods and clinical development.	99161783161801452	2329-0501		2329-0501		
Molecular therapy - Nucleic Acids.	99157411140001452		2162-2531			
Molecular therapy - Oncolytics.	99161837518501452		2372-7705			
Molecular therapy: the journal of the American Society of Gene Therapy.	99157719570001452	1525-0016	1525-0024	1525-0016		
Molecular urology.	99158424070001452	1091-5362	1557-9069	1091-5362		
Molecular Vision.	99157331680001452		1090-0535			
Molecules and cells.	99157433150001452	1016-8478	0219-1032	1016-8478		
Molecules.	99157354390001452		1420-3049			
Molekuliarnaia biologiia.		0026-8984		0026-8984		
"Molekuliarnaia genetika, mikrobiologiia i virusologiia."		0208-0613		0208-0613		
Monaldi Archives for chest disease - cardiac Series.	 	1122-0643	2465-1028	1122-0643		
Monaldi Archives for chest disease - pulmonary Series.		1122-0643		1122-0643		
Monash bioethics review.	 	1321-2753	1836-6716	1321-2753		
Monatsschrift fur kinderheilkunde.	 	0026-9298	1433-0474	0026-9298		
Monoclonal antibodies in immunodiagnosis and immunotherapy.	99160880450001452		2167-9436			
Monographs in clinical cytology.	 	0077-0809	1662-3827	0077-0809		
Monographs in oral science.	 	0077-0892	1662-3843	0077-0892		
Monographs of the Society for Research in Child Development.	99157840370001452	0037-976X	1540-5834	0037-976X		
MorfologiÉ?????aÉ???É??.		1026-3543		1026-3543		
Morphologie.		1286-0115		1286-0115		
Motor control.	 	1087-1640	1543-2696	1087-1640		
Mount Sinai journal of medicine.	99157618860001452	0027-2507	1931-7581	0027-2507		
Movement disorders.	99158524640001452	0885-3185	1531-8257	0885-3185		
Movement disorders clinical practice.	99161776841501452		2330-1619			
MSMR.	99157796920001452 99127097650001452	2158-0111	2152-8217	2158-0111		
Mucosal immunology.	99157719540001452	1933-0219	1935-3456	1933-0219		
Multidisciplinary respiratory medicine.	99157229060001452	1828-695X	2049-6958	1828-695X		
Multimedia manual of cardiothoracic surgery: MMCTS/European Association for CardioThoracic Surgery.			1813-9175			
Multiple sclerosis and related disorders.	99161871097901452	2211-0348	2211-0356	2211-0348		
Multiple Sclerosis international.	99157400950001452	2090-2654	2090-2662	2090-2654		
Multiple Sclerosis journal.	99157840420001452	1352-4585	1477-0970	1352-4585		
"Multiple Sclerosis journal - Experimental, translational and clinical."	99161927194501452		2055-2173			
Multiple sclerosis: clinical and laboratory research.	99157840420001452	1352-4585	1477-0970	1352-4585		
Multisensory research.	99158440400001452	2213-4794	2213-4808	2213-4794		
Multivariate behavioral research.	99158513990001452	0027-3171	1532-7906	0027-3171		
Muscle and Nerve.	99158524780001452	0148-639X	1097-4598	0148-639X		
Musculoskeletal care.	99157840510001452	1478-2189	1557-0681	1478-2189		
Musculoskeletal surgery.	 	2035-5106	2035-5114	2035-5106		
Mutagenesis.	99157520500001452	0267-8357	1464-3804	0267-8357		
Mutation research - Fundamental and molecular Mechanisms of Mutagenesis.	99161967508001452	0027-5107	1879-2871	0027-5107		
Mutation research - Genetic toxicology and environmental Mutagenesis.	99161967394401452	1383-5718	1879-3592	1383-5718		
Mutation research - Reviews in Mutation research.	99161967416001452	1383-5742	1388-2139	1383-5742		
Mycologia.	99157515900001452	0027-5514	1557-2536	0027-5514		
Mycopathologia.	99158514980001452	0301-486X	1573-0832	0301-486X		
Mycorrhiza.	99158515850001452	0940-6360	1432-1890	0940-6360		
Mycoscience.	99157843210001452	1340-3540	1618-2545	1340-3540		
Mycoses.	99157840720001452	0933-7407	1439-0507	0933-7407		
Mycotoxin research.	991618236001452	0178-7888	1867-1632	0178-7888		
Mymensingh medical journal : MMJ.		1022-4742		1022-4742		
Nadcisnienie tetnicze.	 	1428-5851	1644-3101	1428-5851		
Nagoya journal of medical science.	99157417210001452	0027-7622	2186-3326	0027-7622		
Nahrung = Food. (continued by Molecular nutrition & food research).	99158526510001452	0027-769X	1521-3803	0027-769X		
Nan fang yi ke da xue xue bao = journal of Southern medical University.		1673-4254		1673-4254		
Nano biomedicine and engineering.	99157361640001452		2150-5578			
Nano letters.	99158485140001452	1530-6984	1530-6992	1530-6984		
Nano LIFE.	 	1793-9844	1793-9852	1793-9844		
Nano research.	99161934331801452	1998-0124	1998-0000	1998-0124		
Nano Today.	99161967489201452	1748-0132	1878-044X	1748-0132		
Nanomaterials and tissue regeneration.			2084-7211			
Nanomedicine.	99161956248501452	1743-5889	1748-6963	1743-5889		
"Nanomedicine: nanotechnology, biology, and medicine."	99158434790001452	1549-9634	1549-9642	1549-9634		
Nanoscale.	99157763370001452	2040-3364	2040-3372	2040-3364		
Nanotechnology.	99158487730001452	0957-4484	1361-6528	0957-4484		
"Nanotechnology, science and applications."	99157362980001452		1177-8903			
Nanotoxicology.	99157840100001452	1743-5390	1743-5404	1743-5390		
Narrative inquiry in bioethics.	99161761560901452	2157-1732	2157-1740	2157-1732		
NASN school nurse.	99160483250001452	1942-602X	1942-6038	1942-602X		
National Bureau of Economic Research bulletin on aging and health.						
National health statistics reports.	 	2164-8344	2332-8363	2164-8344		
"National journal of physiology, pharmacy and pharmacology."	99157405830001452	2320-4672	2231-3206	2320-4672		
National medical journal of China.		0376-2491		0376-2491		
National medical journal of India.		0970-258X		0970-258X		
National Strength & conditioning Association journal.						
"99161941799401452"""	0744-0049	2379-0784		2379-0784		
National Strength Coaches Association journal.	99161941799401452	0199-610X	2379-0792	0199-610X		
National toxicology program genetically modified model report.	 	1556-522X	1556-5246	1556-522X		
National toxicology program technical report series.	99161833757601452 99157116830001452	0888-8051		0888-8051		
"National vital statistics reports : from the Centers for Disease Control and Prevention, National Center for health Statistics, National Vital Statistics System."	99125095600001452 99111163630001452 99157800260001452 	1551-8922	1551-8930	1551-8922		
Native plants journal.	99157649890001452	1522-8339	1548-4785	1522-8339		
Natural computing.	 	1567-7818	1572-9796	1567-7818		
Natural product communications.	 	1934-578X	1555-9475	1934-578X		
Natural product reports.	99157566150001452	0265-0568	1460-4752	0265-0568		
Natural product research.	 	1478-6419	1478-6427	1478-6419		
Natural product sciences.	99158424970001452	1226-3907		1226-3907		
Natural products journal.	 	2210-3155	2210-3163	2210-3155		
Nature.	99157597480001452	0028-0836	1476-4687	0028-0836		
Nature biotechnology.	99157858140001452	1087-0156	1546-1696	1087-0156		
Nature cell biology.	99157840910001452	1465-7392	1476-4679	1465-7392		
Nature chemical biology.	99157821310001452	1552-4450	1552-4469	1552-4450		
Nature chemistry.	99157859070001452	1755-4330	1755-4349	1755-4330		
Nature clinical practice. Cardiovascular medicine.			1743-4300			
Nature clinical practice. Endocrinology & metabolism.						
Nature clinical practice. Gastroenterology & hepatology.						
Nature clinical practice. Nephrology.	99158464250001452	1745-8331	1745-8331	1745-8331		
Nature clinical practice. Neurology.	99158464260001452	1745-834X	1745-8358	1745-834X		
Nature clinical practice. Rheumatology.	99158464230001452	1745-8390	1745-8390	1745-8390		
Nature clinical practice. Urology.	99158464190001452	1743-4289	1743-4289	1743-4289		
Nature communications.	99160429500001452		2041-1723			
Nature genetics.	99157821420001452	1061-4036	1546-1718	1061-4036		
Nature immunology.	99157858430001452	1529-2908	1529-2916	1529-2908		
Nature materials.	99157840070001452	1476-1122		1476-1122		
Nature medicine.	99157821070001452	1078-8956	1546-170X	1078-8956		
Nature methods.	99157840330001452	1548-7091	1548-7105	1548-7091		
Nature nanotechnology.	99157840930001452	1748-3387	1748-3395	1748-3387		
Nature neuroscience.	99157821990001452	1097-6256	1546-1726	1097-6256		
Nature photonics.	99157840650001452	1749-4885	1749-4893	1749-4885		
Nature protocols.	99158464220001452	1754-2189	1750-2799	1754-2189		
Nature reviews clinical oncology.	99158464340001452	1759-4774	1759-4782	1759-4774		
Nature reviews disease primers.	99161837061801452		2056-676X			
Nature reviews Gastroenterology and hepatology.	99158464360001452	1759-5045	1759-5053	1759-5045		
Nature reviews Genetics.	99157840840001452	1471-0056	1471-0064	1471-0056		
Nature reviews molecular cell biology.	99157840800001452	1471-0072	1471-0080	1471-0072		
Nature reviews Nephrology.	99158464350001452	1759-5061	1759-507X	1759-5061		
Nature reviews neurology.	99158464300001452	1759-4758	1759-4766	1759-4758		
Nature reviews neuroscience.	99157840830001452	1471-003X	1471-0048	1471-003X		
Nature reviews urology.	99158464310001452	1759-4812	1759-4820	1759-4812		
Nature reviews. Cancer.	99157822090001452	1474-175X	1474-1768	1474-175X		
Nature reviews. Cardiology.	99158464160001452	1759-5002	1759-5010	1759-5002		
Nature reviews. drug discovery.	99157822140001452	1474-1776	1474-1784	1474-1776		
Nature reviews. Endocrinology.	99158464330001452	1759-5029	1759-5037	1759-5029		
Nature reviews. immunology.	99157822110001452	1474-1733	1474-1741	1474-1733		
Nature reviews. Microbiology.	99157858150001452	1740-1526	1740-1534	1740-1526		
Nature reviews. Rheumatology.	99158464290001452	1759-4790	1759-4804	1759-4790		
Nature Structural and molecular biology.	99157821530001452	1545-9993	1545-9985	1545-9993		
Naunyn-Schmiedeberg's Archives of pharmacology.	99158516100001452	0028-1298	1432-1912	0028-1298		
NCHS data brief.	 	1941-4935	1941-4927	1941-4935		
NCRP report.		0083-209X		0083-209X		
NCSL legisbrief.		1068-2716		1068-2716		
Nebraska nurse.	99158193760001452	0028-1921		0028-1921		
Nebraska symposium on Motivation.		0146-7875		0146-7875		
Nederlands Tijdschrift voor dermatologie en venereologie.		0925-8604		0925-8604		
Nederlands Tijdschrift voor geneeskunde.	99162043720901452	0028-2162		0028-2162		
Nederlands Tijdschrift voor Klinische chemie en laboratoriumgeneeskunde.		1570-8306		1570-8306		
Nederlands tijdschrift voor tandheelkunde.		0028-2200		0028-2200		
Nefrolog??a : publicaci??n oficial de la Sociedad Espa??Òola Nefrologia.	99157314500001452	0211-6995	1989-2284	0211-6995		
Nefrologia.	99161967366601452		2013-2514			
"Neonatal network: The journal of Neonatal Nursing NN. Neonatal Network, National Association of Neonatal Nurses & Academy of Neonatal Nursing (U.S.)."	99158486230001452	0730-0832	1539-2880	0730-0832		
Neonatology: fetal and neonatal research. National Institutes of health (U.S.). PubMed Central & ProQuest Information and Learning Company.	99157751870001452	1661-7800	1661-7819	1661-7800		
Neoplasia (United States).	99157370780001452	1522-8002	1476-5586	1522-8002		
Neoplasma.	 	0028-2685	1338-4317	0028-2685		
Neotropical entomology.	99157348380001452	1519-566X	1678-8052	1519-566X		
Nepal journal of epidemiology.	99157384280001452		2091-0800			
Nepal medical College journal : NMCJ.						
Nepalese journal of ophthalmology : a biannual peer-reviewed academic journal of the Nepal Ophthalmic Society : NEPJOPH.	99157381140001452	2072-6805	2091-0320	2072-6805		
NEPAS journal: a Nepal Paediatric Society journal.	99157365740001452	1990-7974	1990-7982	1990-7974		
Nephrologe.	 	1862-040X	1862-0418	1862-040X		
Nephrologie et therapeutique.	99161967621801452	1769-7255	1872-9177	1769-7255		
Nephrology.	99157840880001452	1320-5358	1440-1797	1320-5358		
Nephrology dialysis transplantation.	99157507060001452	0931-0509	1460-2385	0931-0509		
Nephrology news & issues.		0896-1263		0896-1263		
Nephrology nursing journal : journal of the American Nephrology Nurses' Association.	99157821160001452	1526-744X		1526-744X		
Nephrology reviews.	99157380160001452	2035-8261	2035-813X	2035-8261		
Nephrology times.	99161941801901452	1940-5960	1945-0605	1940-5960		
Nephron.	99161932560301452	1660-8151	2235-3186	1660-8151		
Nephron Extra.	99157416870001452		1664-5529			
Nephro-Urology Monthly.	99157409650001452	2251-7006	2251-7014	2251-7006		
Nervenarzt.	 	0028-2804	1433-0407	0028-2804		
Nervenheilkunde.		0722-1541		0722-1541		
Nestl??? Nutrition Institute workshop series.	 	1664-2147	1664-2155	1664-2147		
Netherlands heart journal.	99161863763901452	1568-5888	1876-6250	1568-5888		
Netherlands journal of critical care.		1569-3511		1569-3511		
Netherlands journal of medicine.	99157447870001452	0300-2977		0300-2977		
Network : computation in neural systems.	99158477070001452	0954-898X	1361-6536	0954-898X		
Network Modeling and analysis in health informatics and bioinformatics.			2192-6670			
Neuere Medizin- und Wissenschaftsgeschichte.		0949-2739		0949-2739		
Neural computation.	99157840380001452	0899-7667	1530-888X	0899-7667		
Neural development.	99157230230001452		1749-8104			
Neural Networks.	99161967405001452	0893-6080	1879-2782	0893-6080		
Neural Plasticity.	99157406060001452	2090-5904	1687-5443	2090-5904		
Neural regeneration research.	99161787649301452	1673-5374	1876-7958	1673-5374		
Neuroanatomy.	99161957325901452	1303-1783	1303-1775	1303-1783		
Neurobehavioral HIV medicine.	99157385780001452		1179-1497			
Neurobiology of aging.	99158435620001452	0197-4580	1558-1497	0197-4580		
Neurobiology of disease.	99158435640001452	0969-9961	1095-953X	0969-9961		
Neurobiology of learning and Memory.	99161967640101452	1074-7427	1095-9564	1074-7427		
Neurobiology of Stress.	99161823059401452		2352-2895			
Neurocase.	99157840230001452	1355-4794	1465-3656	1355-4794		
Neurochemical research.	99158516220001452	0364-3190	1573-6903	0364-3190		
Neurochemistry international.	99161967428801452	0197-0186	1872-9754	0197-0186		
Neurochirurgie.	99161945622001452	0028-3770	1773-0619	0028-3770		
Neurocirugia.	99157313580001452	1130-1473		1130-1473		
Neurocomputing.	99161967422801452	0925-2312	1872-8286	0925-2312		
