Title,MMSID,ISSN,ISSN1,,
Orthopaedics and trauma.,99158436140001400,1877-1327,1877-1335,,
Orthopaedics and traumatology: Surgery and research.,99157440360001400,,1877-0568,,
Orthopedic clinics of North America.,99158434940001400,0030-5898,1558-1373,,
Orthopedic nursing.,99158193000001400,0744-6020,1542-538X,,
Orthopedic reviews.,99157361990001400,2035-8237,2035-8164,,
Orthopedics.,99158192240001400,0147-7447,1938-2367,,
"Ortopedia, traumatologia, rehabilitacja.", ,1509-3492,2084-4336,,
Orvosi hetilap., ,0030-6002,1788-6120,,
Orvost??rt?©neti k??zlem?©nyek.,,0010-3551,,,
Osaka city medical journal.,,0030-6096,,,
Osiris.,99158298480001400,0369-7827,,,
Osong public health and research Perspectives.,99161856653801400,2210-9099,2210-9110,,
Osteoarthritis and cartilage.,99158433890001400,1063-4584,1522-9653,,
Osteologicky Bulletin.,,1211-3778,,,
Osteologie.,,1019-1291,,,
Osteopathic family physician.,99158432790001400,1877-573X,,,
Osteopathische Medizin.,99161967554401400,1615-9071,1611-8928,,
Osteoporosis and Sarcopenia.,99161967560101400,2405-5255,2405-5263,,
Osteoporosis international.,99158906190001400,0937-941X,1433-2965,,
Osteosynthese international.,,,1439-0868,,
Ostomy/wound management.,99162001408201400,0889-5899,1943-2720,,
"OTJR occupation, participation and health.",99158191540001400,1539-4492,,,
Otolaryngologia Polska.,,0030-6657,,,
Otolaryngologic clinics of North America.,99158432000001400,0030-6665,1557-8259,,
Otolaryngology - Head and Neck surgery (United States).,99161963634601400,0194-5998,1097-6817,,
"Otology & neurotology : official publication of the American Otological Society, American Neurotology Society [and] European Academy of Otology and Neurotology.",99161941803201400,1531-7129,1537-4505,,
Otorhinolaryngologist.,,1752-9360,,,
Otorhinolaryngology clinics., ,0975-444X,0975-6957,,
Oto-Rhino-Laryngology Tokyo.,99157664750001400,0386-9687,,,
Outcomes management.,99161941796701400,1535-2765,1538-9820,,
Outlines in pharmaceutical sciences., ,2191-3188,2191-3196,,
Oxford medical case reports.,99161767061501400,,2053-8855,,
Oxidative medicine and cellular longevity.,99157382280001400,1942-0900,1942-0994,,
P and T.,99157450360001400,1052-1372,,,
Pa?Â¿‹diatrie up2date.,99158511360001400,1611-6445,1862-9393,,
PACE - Pacing and clinical Electrophysiology.,99157839180001400,0147-8389,1540-8159,,
Pacific health dialog.,99161934893401400,1015-7867,,,
Pacific symposium on biocomputing.,,2335-6936,,,
Pacing and clinical electrophysiology: PACE. International Cardiac pacing and Electrophysiology Society.,99157839180001400,0147-8389,1540-8159,,
Packaging technology and science.,99158525760001400,0894-3214,1099-1522,,
Padiatrische praxis.,,0030-9346,,,
Paediatria Croatica., ,1330-1403,1846-405X,,
"Paediatria Croatica, Supplement.",,1330-724X,,,
Paediatric anaesthesia.,99157838710001400,1155-5645,1460-9592,,
Paediatric and Perinatal drug therapy., ,1463-0095,1744-4349,,
Paediatric and Perinatal epidemiology.,99157839820001400,0269-5022,1365-3016,,
Paediatric drugs.,99157838040001400,1174-5878,1179-2019,,
Paediatric respiratory reviews.,99158432890001400,1526-0542,1526-0550,,
Paediatrics and child health (Canada).,99157851350001400,1205-7088,1918-1485,,
Paediatrics and child health (United Kingdom).,99158436190001400,1751-7222,1878-206X,,
Paediatrics and international child health.,99157872690001400,2046-9047,2046-9055,,
Pain.,99158431950001400,0304-3959,1872-6623,,
Pain and therapy.,99161863763201400,2193-8237,2193-651X,,
Pain management.,99161961952101400,1758-1869,1758-1877,,
Pain management nursing : official journal of the American Society of Pain Management Nurses.,99161967503501400,1524-9042,1532-8635,,
Pain medicine: the official journal of the American Academy of Pain medicine.,99157839160001400,1526-2375,1526-4637,,
Pain physician.,99157369640001400,1533-3159,2150-1149,,
Pain practice: official journal of World Institute of Pain.,99157839080001400,1530-7085,1533-2500,,
Pain research and management.,99158336780001400,1203-6765,,,
Pain reviews.,99157839600001400,0968-1302,1477-0318,,
Pakistan journal of biological sciences : PJBS.,99157355290001400,1028-8880,1812-5735,,
Pakistan journal of biotechnology.,,1812-1837,,,
Pakistan journal of medical and health sciences.,,1996-7195,,,
Pakistan journal of medical sciences.,99157348190001400,1682-024X,,,
Pakistan journal of nutrition.,99157343720001400,1680-5194,,,
Pakistan journal of pharmaceutical sciences.,99157472380001400,1011-601X,,,
Pakistan paediatric journal.,,0304-4904,,,
Paleopathology newsletter.,,0148-4737,,,
Palliative & supportive care.,99161948358101400,1478-9515,1478-9523,,
Palliative medicine.,99157839950001400,0269-2163,1477-030X,,
Pan African medical journal.,99157380810001400,,1937-8688,,
Pan Arab journal of neurosurgery.,,1319-6995,,,
Pancreas.,99158507040001400,0885-3177,1536-4828,,
Pancreatology.,99157751180001400,1424-3903,1424-3911,,
Panminerva medica., ,0031-0808,1827-1898,,
Papillomavirus research.,99161967506501400,,2405-8521,,
Papua and New Guinea medical journal.,99161789231901400,0031-1480,,,
Parasite : journal de la Soci?©t?© Fran?ﬂaise de Parasitologie.,99157474660001400,1252-607X,1776-1042,,
Parasite epidemiology and control.,99161967480501400,,2405-6731,,
Parasite immunology.,99157780280001400,0141-9838,1365-3024,,
Parasites and Vectors.,99157212220001400,,1756-3305,,
Parasitology.,99158481300001400,0031-1820,1469-8161,,
Parasitology international.,99158436150001400,1383-5769,1873-0329,,
Parasitology research.,99158516520001400,0932-0113,1432-1955,,
Parasitology today.,99161967386201400,0169-4758,1873-1473,,
Parazitologiia.,99161958490801400,0031-1847,,,
Parkinsonism and related disorders.,99158433150001400,1353-8020,1873-5126,,
Parkinson's disease.,99157376280001400,,2042-0080,,
Particle and Fibre toxicology.,99157230860001400,,1743-8977,,
Particulate science and technology.,99157839830001400,0272-6351,1548-0046,,
Pathobiology.,99157751310001400,1015-2008,1423-0291,,
Pathobiology of Aging and Age-related diseases.,99157398650001400,,2001-0001,,
Pathogenesis.,99161871082001400,,2214-6636,,
Pathogens.,99157419310001400,,2076-0817,,
Pathogens and disease.,99159482840001400,,2049-632X,,
Pathogens and global health.,99161950126201400,2047-7724,2047-7732,,
Pathologica.,99159830820001400,0031-2983,1591-951X,,
Pathologie biologie.,99161967652201400,0369-8114,1768-3114,,
Pathology.,99161788481901400,0031-3025,1465-3931,,
Pathology and oncology research.,99157493100001400,1219-4956,1532-2807,,
Pathology case reviews.,99158507250001400,1082-9784,1533-4015,,
Pathology international.,99157838280001400,1320-5463,1440-1827,,
Pathology research and practice.,99161967650901400,0344-0338,1618-0631,,
Pathophysiology.,99161967620001400,0928-4680,1873-149X,,
Patient.,99158514570001400,1178-1653,1178-1661,,
Patient education and counseling.,99158433050001400,0738-3991,1873-5134,,
Patient preference and adherence.,99157367780001400,,1177-889X,,
Patient safety in surgery.,99157230460001400,,1754-9493,,
Patient: patient-centered outcomes research.,99158514570001400,1178-1653,1178-1661,,
Patologicheskaia fiziologiia i ?Æksperimental'naia terapiia.,,0031-2991,,,
PDA journal of pharmaceutical science and technology., ,1079-7440,1948-2124,,
Pediatria.,99161967441601400,,0120-4912,,
Pediatria Catalana.,99157493930001400,1135-8831,,,
Pediatria i Medycyna Rodzinna.,,1734-1531,,,
Pediatria integral.,,1135-4542,,,
Pediatria Polska.,99161967556701400,0031-3939,,,
Pediatria Wspolczesna.,,1507-5532,,,
Pediatric allergy and immunology: official publication of the European Society of Pediatric Allergy and Immunology.,99157838340001400,0905-6157,1399-3038,,
Pediatric and developmental pathology., ,1093-5266,1615-5742,,
Pediatric annals., ,0090-4481,1938-2359,,
"Pediatric asthma, allergy & immunology.",99158423900001400,0883-1874,1557-7767,,
Pediatric blood & cancer.,99158524340001400,1545-5009,1545-5017,,
Pediatric cancer., ,2211-7997,2211-8004,,
Pediatric cardiology.,99158906180001400,0172-0643,1432-1971,,
Pediatric clinics of North America.,99158432180001400,0031-3955,1557-8240,,
Pediatric critical care medicine.,99161941798501400,1529-7535,1947-3893,,
Pediatric Dental journal.,99157343130001400,0917-2394,1880-3997,,
Pediatric dentistry.,99158475870001400,0164-1263,1942-5473,,
Pediatric dermatology.,99157839120001400,0736-8046,1525-1470,,
Pediatric diabetes.,99157837910001400,1399-543X,1399-5448,,
Pediatric drugs.,99157838040001400,1174-5878,1179-2019,,
Pediatric emergency care.,99158507070001400,0749-5161,1535-1815,,
Pediatric emergency medicine practice., ,1549-9650,1549-9669,,
Pediatric endocrinology reviews.,,1565-4753,,,
"Pediatric endocrinology, diabetes and metabolism.",,,2083-8441,,
Pediatric endosurgery & innovative techniques.,,,,,
Pediatric exercise science., ,0899-8493,1543-2920,,
Pediatric hematology and oncology.,99157839100001400,0888-0018,1521-0669,,
Pediatric infection and vaccine.,99161966614501400,2384-1079,2384-1087,,
Pediatric infectious disease journal.,99158506880001400,0891-3668,1532-0987,,
Pediatric nephrology.,99157837890001400,0931-041X,1432-198X,,
Pediatric neurology.,99158432910001400,0887-8994,1873-5150,,
Pediatric neurosurgery.,99157751300001400,1016-2291,1423-0305,,
Pediatric nursing.,99157838330001400,0097-9805,,,
Pediatric obesity.,99157874060001400,2047-6302,2047-6310,,
Pediatric oncology., ,1613-5318,2191-0812,,
Pediatric pathology & molecular medicine.,,,,,
Pediatric pathology and laboratory medicine.,99161869969501400,1077-1042,1087-6529,,
Pediatric physical therapy : the official publication of the Section on Pediatrics of the American Physical therapy Association.,99158507530001400,0898-5669,1538-005X,,
Pediatric pulmonology.,99158526410001400,8755-6863,1099-0496,,
Pediatric radiology.,99158906150001400,0301-0449,1432-1998,,
Pediatric rehabilitation.,,1363-8491,1464-5270,,
Pediatric reports.,,,2036-7503,,
Pediatric research.,99157514540001400,0031-3998,1530-0447,,
Pediatric rheumatology.,99157229650001400,,1546-0096,,
Pediatric surgery international., ,0179-0358,1437-9813,,
Pediatric transplantation.,99157837550001400,1397-3142,1399-3046,,
"Pediatric, allergy, immunology, and pulmonology.",99157751340001400,2151-321X,2151-3228,,
Pediatrics.,99157649470001400,0031-4005,1098-4275,,
Pediatrics and neonatology.,99158435510001400,1875-9572,,,
Pediatrics in review.,99158464640001400,0191-9601,1526-3347,,
Pediatrics international.,99157838230001400,1328-8067,1442-200X,,
Pediatrie pro praxi., ,1213-0494,1803-5264,,
PeerJ.,99157411720001400,,2167-8359,,
Pennsylvania dental journal.,,0031-4439,,,
Pennsylvania nurse.,99158193270001400,0031-4617,,,
Peptides.,99161967610001400,0196-9781,1873-5169,,
Perception., ,0301-0066,1468-4233,,
Perceptual and motor skills.,99158201420001400,0031-5125,,,
Performance enhancement & health.,99158436270001400,2211-2669,,,
Performance improvement.,99157892460001400,1090-8811,1930-8272,,
Perfusion (Germany)., ,0935-0020,1432-4334,,
Perfusion (United Kingdom).,99157838790001400,0267-6591,1477-111X,,
Perinatologia y reproduccion humana.,99157520740001400,0187-5337,,,
Perinatology.,99161966794401400,0972-2408,,,
Periodicum biologorum.,99157602720001400,0031-5362,,,
Periodontology 2000.,99158524310001400,0906-6713,1600-0757,,
Perioperative medicine.,99157229040001400,,2047-0525,,
Peritoneal dialysis international.,99157649430001452 99111980050001452 ,0896-8608,1718-4304,,
Permanente journal.,99157347800001400,1552-5767,1552-5775,,
Personal relationships.,99157837710001400,1350-4126,1475-6811,,
Personality & social psychology bulletin.,99158501500001400,0146-1672,1552-7433,,
Personality and mental health.,99158525940001400,1932-8621,1932-863X,,
"Personality and social psychology review : an official journal of the Society for Personality and Social Psychology, Inc.",99157838270001400,1088-8683,1532-7957,,
"Personality and social psychology review: an official journal of the Society for Personality and Social Psychology, Inc.",99157838270001400,1088-8683,1532-7957,,
Personality disorders.,99158253460001400,1949-2715,1949-2723,,
Personalized medicine., ,1741-0541,1744-828X,,
Personalized medicine Universe.,99161967383901400,,2186-4950,,
Personnel psychology.,99157899100001400,0031-5826,1744-6570,,
Perspective infirmi?Ære : revue officielle de l'Ordre des infirmi?Æres et infirmiers du Qu?©bec.,99157487320001400,1708-1890,,,
Perspectives.,991617767401452,0831-7445,,,
Perspectives in biology and medicine.,99161761263401400,0031-5982,1529-8795,,
Perspectives in health information management.,99157632400001400,,1559-4122,,
Perspectives in medicinal chemistry.,99157361460001400,,1177-391X,,
Perspectives in medicine.,99157421510001400,2211-968X,,,
Perspectives in psychiatric care.,99157837870001400,0031-5990,1744-6163,,
Perspectives in public health.,99158502190001400,1757-9139,1757-9147,,
Perspectives in vaccinology.,99157421220001400,2210-7622,2210-7630,,
Perspectives in vascular surgery and endovascular therapy.,,1531-0035,1521-5768,,
Perspectives on psychological science: a journal of the Association for Psychological Science.,99157838960001400,1745-6916,1745-6924,,
Perspectives on sexual and reproductive health.,99157577640001400,1538-6341,1931-2393,,
Perspectives: a mental health magazine.,99112676080001400,,1090-0039,,
Pest management science.,99158524220001400,1526-498X,1526-4998,,
Pesticide biochemistry and physiology.,99161967411901400,0048-3575,1095-9939,,
PET clinics.,99158436300001400,1556-8598,1879-9809,,
Pflege.,99161966771701400,1012-5302,,,
Pflege Zeitschrift.,,0945-1129,,,
Pflugers Archiv European journal of physiology.,99158515200001400,0031-6768,1432-2013,,
Pharma research.,,,0975-8216,,
Pharma Times.,,0031-6849,,,
Pharmaca.,,0031-6857,,,
Pharmaceutical & diagnostic innovation.,"
99157838630001452",1176-3469,2230-6048,,
Pharmaceutical biology.,99157838630001400,1388-0209,1744-5116,,
Pharmaceutical bioprocessing., ,2048-9145,2048-9153,,
Pharmaceutical care and research.,,1671-2838,,,
Pharmaceutical care Espana.,,,1139-6202,,
Pharmaceutical chemistry journal.,99157849380001400,0091-150X,1573-9031,,
Pharmaceutical Crops.,,,2210-2906,,
Pharmaceutical development and technology.,99157898380001400,1083-7450,1097-9867,,
Pharmaceutical engineering.,,0273-8139,,,
Pharmaceutical historian.,,0079-1393,,,
Pharmaceutical journal.,99162069347501400,0031-6873,,,
Pharmaceutical manufacturing and packing Sourcer.,,1463-1245,,,
Pharmaceutical medicine.,99157842540001400,1178-2595,1179-1993,,
Pharmaceutical methods.,99157687570001400,2229-4708,2229-4716,,
Pharmaceutical Nanotechnology., ,2211-7385,2211-7393,,
Pharmaceutical outsourcing.,,1945-3337,,,
Pharmaceutical patent analyst., ,2046-8954,2046-8962,,
Pharmaceutical processing.,99157906180001400,1049-9156,,,
Pharmaceutical research.,99158906140001400,0724-8741,1573-904X,,
Pharmaceutical reviews.,99140629570001400,,1918-5561,,
Pharmaceutical sciences., ,1735-403X,2383-2886,,
Pharmaceutical statistics.,99158526580001400,1539-1604,1539-1612,,
Pharmaceutical technology.,99157433320001400,1543-2521,2150-7376,,
Pharmaceutical technology Europe.,,0164-6826,,,
Pharmaceuticals.,99157379890001400,,1424-8247,,
Pharmaceuticals policy and law.,99157838480001400,1389-2827,2210-495X,,
Pharmaceutics.,99157372080001400,,1999-4923,,
Pharmaceutisch Weekblad.,,0031-6911,,,
Pharmaceutische Weekblad Wetenschappelijk Platform.,,1873-8982,,,
Pharmacia.,,0428-0296,,,
Pharmacie globale.,99157384750001400,0976-8157,,,
Pharmacien hospitalier et clinicien.,,2211-1042,,,
